timestamp_utc,alert_id,alert_rule,severity,resource,monitor_condition,fired_to_ack_seconds,time_to_resolve_minutes,classification,incident_id,notes
2026-02-18T03:24:07Z,ALRT-89972,alert-vm-availability,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,311,0,false_positive,,"agent heartbeat dropped for 90s; app probe still healthy"
2026-02-22 18:55:39,ALRT-89984,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,143,16,actionable,INC-2026-02-22-001,"partial failure from eu-3 synthetic path only"
2026-02-22T18:57:12Z,ALRT-89985,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,0,14,duplicate,INC-2026-02-22-001,"second firing while same incident bridge active"
2026-02-22T18:57:46.203Z,ALRT-89986,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,0,0,duplicate,INC-2026-02-22-001,"duplicate from delayed action group retry"
2026-03-04T06:12:21Z,ALRT-90011,alert-vm-high-cpu,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,248,34,actionable,INC-2026-03-04-002,"batch job overran expected window"
2026-03-06T11:03:09Z,ALRT-90018,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,67,22,actionable,INC-2026-03-06-001,"NSG precedence issue"
2026-03-06T11:05:14Z,ALRT-90019,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,0,19,duplicate,INC-2026-03-06-001,"duplicate fire during same outage"
2026-03-09T02:17:40Z,ALRT-90025,alert-vm-availability,Sev1,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,402,5,false_positive,, "planned maintenance window not muted"
2026-03-12T15:21:55Z,ALRT-90036,alert-auth-failed-login-burst,Sev2,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,196,18,actionable,SEC-2026-03-12-001,"password spray from two IPs"
2026-03-15T22:48:10Z,ALRT-90044,alert-vm-high-cpu,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,313,41,actionable,INC-2026-03-15-003,"cache warmup + downstream retry storm"
2026-03-21T09:11:08Z,ALRT-90059,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,91,9,false_positive,,"external probe region packet loss"
2026-03-21T09:23:44Z,ALRT-90060,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,82,0,false_positive,,"auto-recovered before mitigation"
2026-03-27T18:31:33Z,ALRT-90088,alert-vm-high-cpu,Sev2,az-ir-platform-p-westeurope-vm-app-01,Fired,141,26,actionable,INC-2026-03-27-004,"query plan regression after config change"
2026-04-02T07:04:02Z,ALRT-90112,alert-auth-failed-login-burst,Sev2,az-ir-platform-p-westeurope-vm-mgmt-01,Fired,124,12,actionable,SEC-2026-04-02-002,"single source IP blocked at firewall"
2026-04-05T00:48:18Z,ALRT-90127,alert-vm-availability,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,173,0,false_positive,,"agent heartbeat gap; service stayed healthy"
2026-04-09T13:22:57Z,ALRT-90141,alert-service-availability-endpoint,Sev1,az-ir-platform-p-westeurope-vm-app-01,Fired,58,17,actionable,INC-2026-04-09-005,"certificate chain mismatch on reverse proxy"
